JGI_id,YALI0_id,glucose_1,glucose_2,glucose_3,glycerol_1,glycerol_2,glycerol_3,oleic_acid_1,oleic_acid_2,oleic_acid_3
jgi.p|Yarli1|67331,YALI0D07348g,44.97,48.25,45.33,73.67,70.41,68.14,24.96,29.46,30.12
jgi.p|Yarli1|67332,YALI0D07370g,264.17,276.67,225.49,191.77,184.81,171.69,186.36,270.14,189.16
jgi.p|Yarli1|67333,YALI0D07392g,0.97,1.54,0.35,1.09,0.35,0.75,0.41,0,0.18
jgi.p|Yarli1|67334,YALI0D07414g,46.18,37.08,37.83,41.48,35.64,40.16,40.83,40.33,35.9
jgi.p|Yarli1|67335,YALI0D07436g,182.03,177.87,178.9,89.25,101.98,78.49,125.47,160.61,131.97
jgi.p|Yarli1|67336,YALI0D07458g,60.42,49.9,64,29.96,35.81,32.3,19.5,26.93,24.33
jgi.p|Yarli1|67337,YALI0D07480g,990.59,998.96,904.65,749.78,706.46,692.36,951.06,811.45,857.89
jgi.p|Yarli1|67338,YALI0D07502g,2.25,1.84,1.71,1.27,1.25,1.48,0.68,0.46,0.67
jgi.p|Yarli1|67339,YALI0D07524g,26,22.49,27.46,40.28,39.01,36.21,18.14,19.97,18.18
jgi.p|Yarli1|67340,YALI0D07535g,2271.91,2361.09,2545.69,1616.1,2831.86,1334.51,2007.85,3462.75,1653.03
jgi.p|Yarli1|67341,YALI0D07546g,13.74,12.35,16.81,8.76,7.43,12.67,15.85,15.31,17.96
jgi.p|Yarli1|67342,YALI0D07568g,240.41,224.3,264.92,241.86,328.07,291.62,289.46,299.18,320.22
jgi.p|Yarli1|67343,YALI0D07590g,22.07,23.22,27.8,23.55,24.3,24.23,14.81,16.61,16.95
jgi.p|Yarli1|67344,YALI0D07612g,27.12,27.07,29.1,19.76,22.56,18.06,18.76,18.31,17.19
jgi.p|Yarli1|67345,YALI0D07634g,196.96,217.26,210.37,341.74,355.86,330.9,499.22,122.85,384.94
jgi.p|Yarli1|67346,YALI0D07656g,23.36,26.73,51.26,405.35,417.96,568.26,269.51,199.95,247.47
jgi.p|Yarli1|67347,YALI0D07678g,21.74,25.09,30.04,39.99,39.04,43.84,59.93,37.19,48.68
jgi.p|Yarli1|67348,YALI0D07700g,89.45,103.72,92.22,127.27,113.13,128.14,74.44,73.63,80.4
jgi.p|Yarli1|67349,YALI0D07722g,14.54,15.5,16.91,13.64,17.36,15.5,17.23,14.55,15.16
jgi.p|Yarli1|67350,YALI0D07744g,86.78,78.53,81.33,98.27,77.42,71.84,58.24,46.24,52.73
jgi.p|Yarli1|67351,YALI0D07766g,120.44,128.24,117.33,110.06,94.77,100.61,49.02,53.81,56.87
jgi.p|Yarli1|67352,YALI0D07788g,99.13,99.38,99.98,70.37,64.15,70.62,58.8,65.96,63.94
jgi.p|Yarli1|67353,YALI0D07810g,36,35.11,37.37,21.89,24.99,21.6,28.75,23.8,23.49
jgi.p|Yarli1|67354,YALI0D07832g,41.22,32.47,40.1,52.35,47.5,55.13,33.15,37.91,33.49
jgi.p|Yarli1|67355,YALI0D07854g,29.35,29.46,32.97,51.82,46.56,53.94,75.62,55.46,68.25
jgi.p|Yarli1|67356,YALI0D07876g,30.76,35.57,34.15,31.79,32.05,40.37,18.56,17.76,16.84
jgi.p|Yarli1|67357,YALI0D07890g,65.35,67.95,64.68,110.58,101.18,116.03,89.54,69.49,90.35
jgi.p|Yarli1|67358,YALI0D07898g,29.29,31.35,38.56,38.04,38.27,46.58,294.18,250.52,279.22
jgi.p|Yarli1|67359,YALI0D07920g,18.18,17.65,21.9,20.01,19.31,22.43,17.19,19.97,17.9
jgi.p|Yarli1|67360,YALI0D07942g,29.34,24.05,28.27,75.44,60.08,88.64,74.74,65.8,74.99
jgi.p|Yarli1|67361,YALI0D07964g,107.21,115.89,108.86,101.92,88.61,95.69,140.13,165.43,158.44
jgi.p|Yarli1|67362,YALI0D07986g,77.11,62.79,86.71,50.48,51.47,51.04,394.35,632.64,463.01
jgi.p|Yarli1|67363,YALI0D08052g,3.11,3.73,2.59,11.05,13.87,14.32,166.17,64.99,133.77
jgi.p|Yarli1|67364,YALI0D08118g,22.09,24.35,29.49,24.04,22.11,27.22,24.66,30.8,26.47
jgi.p|Yarli1|67365,YALI0D08140g,237.65,278.74,257.81,143.11,194.5,152.7,431.8,418.01,344.73
jgi.p|Yarli1|67366,YALI0D08162g,364.13,395.59,379.06,434.51,402.04,437.06,479.48,341.87,492.46
jgi.p|Yarli1|67367,YALI0D08184g,241.39,364.09,219.6,398.47,479.67,380.02,534.1,68.89,347.39
jgi.p|Yarli1|67368,YALI0D08206g,48.38,47.28,53.44,39.26,38.09,43.41,41.49,63.58,49.2
jgi.p|Yarli1|67369,YALI0D08228g,2350.99,2048.2,2284.47,1222.5,1207.24,1159.23,3327.97,4464.27,3884.91
jgi.p|Yarli1|67370,YALI0D08250g,0.77,0.87,1.82,70.7,45.74,116.01,110.46,58.35,93.09
jgi.p|Yarli1|67371,YALI0D08272g,1112.95,1121.01,1087.12,1130.35,1116.18,1141.52,1245.1,979.18,1160.97
jgi.p|Yarli1|67372,YALI0D08294g,73.57,67.63,68.91,56.66,48.06,51.44,53.4,51.14,50.91
jgi.p|Yarli1|67373,YALI0D08316g,87.55,88.46,83.42,118.49,129.05,131.01,221.22,138.73,187.74
jgi.p|Yarli1|67374,YALI0D08338g,99.3,155.4,172.1,368.71,417.32,429.47,800.93,306.98,645.83
jgi.p|Yarli1|67375,YALI0D08360g,11.07,10.17,11.16,4.9,3.47,4.89,7.29,5.59,4.61
jgi.p|Yarli1|67376,YALI0D08382g,0.3,0.16,0,0.66,0.24,0.31,1.69,1.45,1.21
jgi.p|Yarli1|67377,YALI0D08404g,113.1,116.7,118.03,92,89.31,85.87,30.29,31.71,36.52
jgi.p|Yarli1|67378,YALI0D08419g,22.46,21.44,21.1,23.17,20.04,23.26,18.61,18.7,16.83
jgi.p|Yarli1|67379,YALI0D08448g,188.12,168.41,176.36,134.24,117.38,105.67,106.89,126.57,115.37
jgi.p|Yarli1|67380,YALI0D08470g,112.28,114.95,121.31,76.42,70.77,62.35,62.1,86.95,61.03
jgi.p|Yarli1|67381,YALI0D08492g,35.6,31.98,34.22,46.87,51.19,48.11,40.31,35.09,36.13
jgi.p|Yarli1|67382,YALI0D08514g,232.71,232.12,258.42,284.78,321.31,317.39,389.99,302.56,371.87
jgi.p|Yarli1|67383,YALI0D08536g,118.28,126.12,127.24,167.01,206.54,176.13,209.41,186.68,178.9
jgi.p|Yarli1|67384,YALI0D08558g,61.18,58.67,53.43,63.9,66.55,66.34,47.55,39.43,39.93
jgi.p|Yarli1|67385,YALI0D08580g,81.07,79.22,84.48,84.27,78.46,81.78,70.74,56.77,71.1
jgi.p|Yarli1|67386,YALI0D08602g,47.77,43.04,47.63,44.29,45.58,43.48,58.67,50.41,53.05
jgi.p|Yarli1|67387,YALI0D08624g,12.68,11.35,12.58,16.64,15.6,18.88,9.81,9.34,8.39
jgi.p|Yarli1|67388,YALI0D08635g,143.15,123,141.17,167.24,146.73,179.41,68.65,51.83,79.67
jgi.p|Yarli1|67389,YALI0D08646g,24.77,24.52,19.49,41.38,50.37,48.04,59.17,46.38,50.79
jgi.p|Yarli1|67390,YALI0D08668g,98.72,101.74,79.07,48.75,43.98,47.53,49.08,71.95,65.18
jgi.p|Yarli1|67391,YALI0D08690g,19.89,24.08,38.34,53.55,32.07,71.81,59.78,52.48,61.2
jgi.p|Yarli1|67392,YALI0D08712g,34.22,32.03,31.05,30.71,31.8,31.13,18.38,21.1,21.59
jgi.p|Yarli1|67393,YALI0D08734g,40.39,43.39,42.67,58.53,63.86,70.53,37.56,34.01,38.15
jgi.p|Yarli1|67394,YALI0D08756g,15.93,12.4,13.83,11.26,9.98,12.1,19.68,18.15,20.3
jgi.p|Yarli1|67395,YALI0D08778g,15.03,17.62,21.84,28.01,26.81,28.91,100.24,49.44,86.66
jgi.p|Yarli1|67396,YALI0D08800g,0.91,1.8,1.98,1.84,1.27,1.63,1.12,0.15,1.27
jgi.p|Yarli1|67397,YALI0D08822g,22.47,23.44,20.65,21.71,24.27,20.68,18.53,18.87,18.55
jgi.p|Yarli1|67398,YALI0D08844g,137.02,156.06,137.06,166.33,166.69,159.66,186.45,204.25,187.31
jgi.p|Yarli1|67399,YALI0D08866g,92.91,91.4,90.09,146.45,113.59,123.88,182.12,213.13,193.77
jgi.p|Yarli1|67400,YALI0D08888g,5.97,4.27,4.97,3.51,3.48,3.77,3,3.56,4.02
jgi.p|Yarli1|67401,YALI0D08910g,30.09,35.02,34.71,40.54,31.63,40.06,32.04,26.91,32.27
jgi.p|Yarli1|67402,YALI0D08932g,28.83,25.92,26.04,29.09,29.37,31.29,20.76,19.34,19.73
jgi.p|Yarli1|67403,YALI0D08954g,82.63,82.87,77.43,79.1,88.05,80.07,61.57,58.4,52.54
jgi.p|Yarli1|67404,YALI0D08976g,154.33,161.36,155.81,228.77,249.9,248.77,264.91,152.94,231.19
jgi.p|Yarli1|67405,YALI0D08998g,55.13,53.71,57.37,53.34,53.43,56.43,43.47,43.2,42.87
